Altitude_km,Mach_0.030,Mach_0.040,Mach_0.050,Mach_0.060,Mach_0.070,Mach_0.080,Mach_0.090,Mach_0.100,Mach_0.110,Mach_0.120,Mach_0.130,Mach_0.140,Mach_0.150,Mach_0.160,Mach_0.170,Mach_0.180,Mach_0.190,Mach_0.200,Mach_0.210,Mach_0.220,Mach_0.230,Mach_0.240,Mach_0.250,Mach_0.260,Mach_0.270,Mach_0.280,Mach_0.290,Mach_0.300,Mach_0.310,Mach_0.320,Mach_0.330,Mach_0.340,Mach_0.350,Mach_0.360,Mach_0.370,Mach_0.380,Mach_0.390,Mach_0.400,Mach_0.410,Mach_0.420,Mach_0.430,Mach_0.440,Mach_0.450,Mach_0.460,Mach_0.470,Mach_0.480,Mach_0.490
5.0,,,64.19274938682206,79.47568516768025,104.2372289143565,138.93105701915638,184.21356135885864,240.8094620821504,311.6959704747841,396.686714355107,496.7768813080257,613.0427734205888,746.4122217920253,901.8357372606496,1077.921661131272,1275.8486261659186,1497.0242757610893,1742.1744727042922,2015.2504033615662,2315.48241804339,2644.0801674399277,3002.7094672368794,3392.6095061368474,3815.4922956371224,4272.38353825842,4763.8812579766445,5291.4050522282405,5857.94416597842,6461.40074127257,7107.205150680223,7794.702312224757,8522.654034207138,9298.669704455891,10114.098530326064,10979.483924906597,11898.449131516614,12860.229169899922,13875.051017482307,14938.97742115654,16057.552642731698,17239.59148676469,18468.790364956214,19753.18057889976,21105.62407283324,22504.254507995367,23962.14796477847,25499.394518705125
5.5,,,64.24436655177782,77.67388930550918,100.12861041302614,131.9468299528675,173.69403350063473,226.0158427437159,291.66394738392023,370.4406893843305,463.2825031475308,571.1710030620425,694.9515417761548,839.2386672800077,1002.7924121835164,1186.573354869045,1391.8800254357604,1619.8807071147835,1873.1504413796206,2151.952003860424,2457.276687657477,2790.9453264346357,3153.2113008375995,3545.7402576090417,3969.9639136095807,4426.178821339065,4916.785862481001,5442.717745652048,6003.52204874004,6603.859560723042,7239.956296580138,7919.484961789967,8635.389269726922,9399.295803043333,10203.846591787697,11049.011831457647,11949.34971385437,12888.396036481528,13875.795018793586,14917.270562902662,16010.135877153476,17149.9932172052,18344.711166470766,19606.46165168115,20899.633883513645,22270.337998604322,23699.609896756898
6.0,,,64.5876799922955,76.2249092737905,96.47519738232387,125.56341786684003,163.96432713684652,212.24831372522374,272.94813579942814,345.87013185238067,431.8902862028121,531.8696779086785,646.6510514481641,780.485097711838,932.1197317706778,1102.653629578906,1293.1262873828198,1504.5517885612169,1739.6368566892036,1998.3528072293877,2282.0093398499307,2591.0045626581573,2927.1385351452113,3292.014421508424,3685.040765005864,4108.770145406859,4564.247527106843,5051.848206726319,5572.424384585596,6130.03579292426,6721.335953107205,7349.73430421695,8017.906496478028,8722.20873329007,9470.72226469197,10255.560853358094,11088.24490143431,11966.8081329741,12879.89967926692,13845.338017851469,14861.640237462774,15925.950722611542,17033.78064172203,18192.563978437098,19398.424897211662,20662.893468246108,21984.040517769776
6.5,,,65.23203372014386,75.13117842018686,93.27077053923605,119.76437834572788,155.00019429048817,199.47507666854793,255.5132303986603,322.9315644835248,402.5153975981036,495.067688800838,601.3762113674211,725.3561512706417,865.8807919827553,1023.8858647050967,1200.4266798696092,1396.4482963397804,1614.32584980936,1854.1393364315254,2117.100116012941,2403.724757721465,2715.3493690178257,3052.928254665049,3417.7364908992085,3810.427834481609,4232.415756263781,4685.095601639365,5167.758748389119,5683.234068383626,6232.196251358879,6815.838866160719,7433.215637661464,8089.955232387927,8779.348089457522,9513.538455519281,10280.872221083262,11092.35736629665,11945.630622942834,12844.354280793514,13777.063750562153,14764.826234987597,15797.05421697637,16869.19897904263,17988.242921279274,19165.010254901146,20382.377263649356
7.0,,,66.18848551510246,74.3968918163875,90.51307789617303,114.5382913665274,146.77398787094347,187.64817272518536,239.29757904946993,301.5239820792339,375.0545728971361,460.61947315732425,558.945225746886,673.6928362583541,803.7266730750081,950.006415353669,1113.4024349353738,1294.823844747713,1496.7017207417443,1718.897544936516,1962.120190149022,2227.795946881062,2516.2178417505443,2828.798188647803,3167.1733334128244,3531.1255778239884,3921.374048584772,4340.795902569318,4787.567268355458,5265.265142855181,5774.525899485442,6314.085410267367,6887.21350570282,7493.551686769903,8136.025543467995,8811.523311189187,9524.184469732974,10275.761619625067,11063.156871415564,11894.73143602001,12761.35680956492,13673.820812218266,14630.24893872795,15627.519862346126,16661.059105125725,17750.156504539118,18880.792936756843
7.5,,,67.47023871095685,74.02814608556362,88.19945812295049,109.87508774053241,139.27202030200215,176.7476339974645,224.25149203976196,281.60004673787813,349.43365077657995,428.445094777588,519.2954169964033,625.2819252089284,745.5464540372093,880.736352127385,1031.8937778443778,1199.7598061132771,1386.3961156109601,1591.8448336741485,1817.0173676377776,2062.717244224413,2329.5687651482426,2619.0942352650286,2931.4006745473343,3268.332759883162,3630.0059973031716,4016.7174451104975,4431.74416253695,4873.776667468238,5343.860112632689,5844.047610668286,6373.401509246118,6935.677464131728,7528.195668896418,8153.459636359705,8815.779327079124,9508.663166987804,10241.924817709722,11008.473057607163,11809.913908424061,12656.255825991537,13538.702837742872,14461.57397375941,15421.659327316533,16425.396345848967,17470.224210024946
8.0,,,,74.03308527510501,86.33140516605033,105.76602066513331,132.47125353540127,166.7399187843746,210.34493997137727,263.09430380737723,325.5815058563756,398.4380252764375,482.2500475166673,580.0918483531277,691.0779407239072,816.0159159614134,955.5655385431336,1110.6204493696566,1283.1271289430163,1472.8618298668935,1680.915698634007,1907.8034397518513,2154.791640177581,2421.9876551782036,2710.8412654012545,3021.815796164079,3355.9068145285537,3714.2109834361327,4096.68134530129,4505.8546962741475,4940.452560697356,5401.6838355946065,5891.867189505901,6410.474300154096,6959.216406846306,7538.038818326929,8146.910773165865,8789.767519845469,9464.275072523165,10176.476326587695,10919.301011593541,11700.27878299454,12510.486983113178,13367.287177643382,14254.066747631437,15183.885739222313,16155.280651443725
8.5,,,,74.42208558380348,84.91105292200687,102.2059579348191,126.35921648186655,157.59400708564033,197.52454769324237,245.95213248422456,303.41973385364537,370.4850884508617,447.68740892964115,537.9010208313724,640.2314959949928,755.4547515732852,884.2569830971904,1027.3062272588365,1186.5271126854964,1361.6251832773632,1553.656390645581,1763.0928604456367,1991.092012982993,2237.8999341042804,2504.599897423932,2791.8309950259363,3100.2717520800297,3430.549691807614,3783.9617394213087,4160.791288934127,4562.853052341926,4988.978742716479,5442.276359873728,5920.358722519373,6425.982997990601,6961.3739109828,7524.311414193175,8117.7857427353465,8742.956849806289,9397.39281232589,10082.09066968848,10804.116330185712,11556.486654125834,12341.716793794849,13163.865261633362,14020.852096719727,14918.593633568003
9.0,,,,75.20808535417714,83.94354784574402,99.1907013758734,120.9196178979506,149.28975718312714,185.75897194076396,230.12672084342964,282.88068360017655,344.50620171345884,415.5377113526117,498.55820152927697,592.8009537536576,698.9539457720269,817.6171651634663,949.4306983608221,1096.2067499780685,1257.7185845329802,1434.6881061046681,1627.8078725444184,1837.9157432378315,2065.5676931514936,2311.210894590392,2576.360366473476,2860.632390985514,3165.3906249169886,3491.7338173610947,3838.902221888481,4208.877935203334,4602.780548624531,5019.619232713826,5461.098278471793,5928.312641761756,6420.911936372972,6940.849810676034,7488.520684021756,8064.529225054718,8666.268169249555,9301.946328929112,9961.661351585413,10655.602370944143,11382.515629827994,12140.290177485835,12932.777655627166,13757.979489600679
9.5,,,,76.40657522414298,83.43658713153634,96.71965766659932,116.14319472049172,141.80381868701363,175.0149074329078,215.5611157873512,263.88084647551767,320.4272927635692,385.65072636050564,461.9535673358291,548.6373171216495,646.2810071487852,755.4648564366554,876.7999964015665,1011.8869073842376,1160.584199817675,1323.4644410774313,1501.4127906607189,1694.8468522805872,1904.460120675436,2130.780771824549,2374.5745245721505,2636.947744414528,2917.736278012571,3218.0435133969527,3538.413943759856,3878.9616339847707,4241.068399073082,4625.975857232468,5032.924821658845,5462.303237705492,5916.776929166755,6394.391791444305,6899.229040562331,7429.677872240926,7986.175542373956,8569.499397605312,9180.939883668912,9818.198032666467,10487.564023433859,11187.78586897021,11916.817777644463,12671.693873557479
10.0,,,,78.03661004221877,83.40058892920308,94.7945386250268,112.02222209044264,135.11890847806026,165.25557717299324,202.2120237460194,246.3777348276837,298.1493707051374,357.9539032479442,427.9584378110497,507.54061001628247,597.2319311267432,697.5538818950467,809.1189943964891,933.2676358610445,1069.956429435006,1219.8663138827685,1383.3584100473204,1561.3429099975272,1754.1659093377239,1962.324513938815,2186.9334811760823,2427.7479460492964,2686.334749272683,2962.2437807852702,3256.7343388271474,3570.6021919516415,3904.3423229254468,4257.764967295891,4631.841797425458,5028.315465910842,5445.310704787122,5885.243554024094,6350.095032682068,6835.9920012268985,7347.346266250665,7885.3260454865085,8448.316736781857,9037.498583480343,9650.630428086122,10293.65597720323,10965.324595571961,11663.655388274427
10.5,,,,,83.84915650235799,93.4200757332858,108.55289179097129,129.21769513516264,156.45579751797712,190.03765702296107,230.30152198260743,277.60451566810747,332.3244259589658,396.45951991095086,469.420433541055,551.6596525924164,643.7473146373787,746.1184894799487,860.0539872519925,985.6195143143386,1123.287403851926,1273.5315263378272,1436.8324927979884,1613.924046341232,1805.4156582155113,2011.3900365741283,2232.8051448356846,2470.335851611971,2724.278720209285,2994.6420515905547,3282.891920656451,3589.359169637756,3914.6073926713134,4258.589848230084,4621.300452651967,5005.569282888875,5409.906545232605,5837.0996015304,6283.724263845306,6755.548348650151,7249.134392599208,7764.696953550692,8305.884709938395,8871.27378575408,9462.572132941927,10078.018917565749,10719.859565625766
